strain	accession	subtype	date	host	country	region	species	broad	order
A/California/129/2022	OQ464178	H3N2	2022-09-04	Human	Usa	?	Human	human	Human
A/swine/Indiana/A02751400/2022	OQ469412	H3N2	2022-12-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751412/2022	OQ469416	H3N2	2022-12-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02711598/2022	OQ352210	H3N2	2022-11-07	Swine	Usa	?	Swine	swine	Swine
A/Missouri/USAFSAM-13606/2022	OQ248717	H3N2	2022-11-04	Human	Usa	?	Human	human	Human
A/Missouri/19/2022	OQ233773	H3N2	2022-10-16	Human	Usa	?	Human	human	Human
A/Washington/47/2022	OQ234827	H3N2	2022-08-25	Human	Usa	?	Human	human	Human
A/Rheinland-Pfalz/USAFSAM-13521/2022	OQ240537	H3N2	2022-10-22	Human	Germany	?	Human	human	Human
A/Human/NewYorkCity/PV42662/2022	ON531542	H3N2	2022-01-15	Human	Usa	?	Human	human	Human
A/swine/Brazil/076-20-5/2020	MW772828	H3N2	2020-04-14	Swine	Brazil	?	Swine	swine	Swine
A/swine/Brazil/079-20-8/2020	MW772833	H3N2	2020-05-05	Swine	Brazil	?	Swine	swine	Swine
A/swine/Kansas/A02751267/2022	OQ079228	H3N2	2022-11-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02751253/2022	OQ079230	H3N2	2022-11-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Belgium/Gent-82/2020	OP458626	H3N2	2020-02-07	Swine	Belgium	?	Swine	swine	Swine
A/swine/Indiana/A02751202/2022	OP967047	H3N2	2022-11-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02751168/2022	OP967115	H3N2	2022-11-03	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02751055/2022	OP950873	H3N2	2022-10-19	Swine	Usa	?	Swine	swine	Swine
